City,County,Code,Site,Waste Type,Waste Sub-Type,Description,Category,Label,Volume in mt,Increase,BQ,Radionuclides
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets d'exploitation et de maintenance,ATALANTE,"Ion exchange resins (REI), from shielded material purification chains (0.018 t)",Low and medium short-lived activity,F3-4-03,"0,219996",,Data updated with each new edition of the National Inventory,"Pu, Am"
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets d'exploitation et de maintenance,ATALANTE,"Organic effluents and oils (6,739 m3)",Low and medium short-lived activity,F3-7-01,0,,Data updated with each new edition of the National Inventory,"241Pu, U, Pu"
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets d'exploitation et de maintenance,ATALANTE,Unused sources (6 sealed and unsealed sources),Other?,S01,0,,Data updated with each new edition of the National Inventory,"Pu, Am"
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets de RCD,ATALANTE,Alpha sources including 238Pu-based stimulators - sector 7 (362 sources),Other?,S01,0,,Data updated with each new edition of the National Inventory,Pu
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets de RCD,ATALANTE,Neutron sources - sector 7 (286 sources),Other?,S01,0,,Data updated with each new edition of the National Inventory,Pu
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets d'exploitation et de maintenance,ATALANTE,SiO2 support columns impregnated with organic solvents (tributylphosphate) (0.0074 t),Average long-lived activity,DIV2-05,"0,2466642",,Data updated with each new edition of the National Inventory,"Pu, Am"
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets dont la filière de gestion reste à définir (DSFI),ATALANTE,Glittering liquids (0.009 m3),Other?,DSF-LI,"0,009",,Data updated with each new edition of the National Inventory,
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets dont la filière de gestion reste à définir (DSFI),ATALANTE,Graphite in drums (0.12 m3),Low and medium short-lived activity,DIV3-05,"0,12",,Data updated with each new edition of the National Inventory,
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets activés - barres de commande en CEI (B4C),Phénix,SCP Command Bar (25 SCP Command Bars),Average long-lived activity,F2-4-15,"1,65",,Data updated with each new edition of the National Inventory,"3H, 54Mn, 55Fe, 60Co"
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets activés - barres de commande en CEI (B4C),Phénix,Rapsodie control rods and section (13 Rapsodie control rod sections),Average long-lived activity,F2-4-15,"0,858",,Data updated with each new edition of the National Inventory,"3H, 54Mn, 55Fe, 60Co"
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets activés - barres de commande en CEI (B4C),Phénix,"Lab bulk (long needles, bars, etc.) (0.168 m3)",Average long-lived activity,F2-4-15,"0,13104",,Data updated with each new edition of the National Inventory,"3H, 54Mn, 55Fe, 60Co"
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets d'exploitation et de maintenance,Phénix,Electrical and electronic waste (WEEE) (0.66 m3),Very low activity,TFA-05,"0,66",,Data updated with each new edition of the National Inventory,
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets dont la filière de gestion reste à définir (DSFI),Phénix,PHE bins (2 PHE bins),Low and medium short-lived activity,F3-4-03,"1,96",,Data updated with each new edition of the National Inventory,"3H, 54Mn, 55Fe, 60Co"
BAGNOLS-SUR-CEZE,Gard,30028,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets activés - barres de commande en CEI (B4C),Phénix,Superior Neutron Protection (PNS) sodium (0.0131 m3),Average long-lived activity,F2-4-15,"0,0131",,Data updated with each new edition of the National Inventory,"3H, 54Mn, 55Fe, 60Co"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 1-Support,Sample drums to be reconditioned (FMA-VC) (7 drums of 118L),Low and medium short-lived activity,F3-4-01,0,,Data updated with each new edition of the National Inventory,"60Co, 63Ni, 90Sr, 137Cs, 239Pu, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 1-Support,Technological waste FMA-VC - Aerosol cans awaiting treatment (4 HDPE drums of 120L),Low and medium short-lived activity,F3-4-02,"0,696",,Data updated with each new edition of the National Inventory,"137Cs, 239Pu, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 1-Support,"Conditioned VLL technological waste (metallic, non-metallic, inert, etc.) (45.15 m3)",Very low activity,TFA-05,"45,15",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 1-Support,Lead (chips and slag) (10 drums of 118L and 223L),Low and medium short-lived activity,F3-4-01,"2,25",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 1-Support,Lead (chips and slag) (7 drums of 118 and 223 liters),Low and medium short-lived activity,F3-4-03,"6,839",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 1-Support,Contaminated solvents and oils (0.223 m3),Low and medium short-lived activity,F3-7-01,0,,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 1-Support,Lead ingots (0.21 m3),Very low activity,TFA-05,"0,21",,Data updated with each new edition of the National Inventory,
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 1-Support,Asbestos waste (29.42 m3),Very low activity,TFA-05,"29,42",,Data updated with each new edition of the National Inventory,"137Cs, 239Pu, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Effluents liquides,Atelier 11-Production - P1,Liquid effluents (HA/MA) (23.5 m3),Low and medium short-lived activity,F3-4-03,"1,5275",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs, 239Pu, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 11-Production - P1,"FMA-VC category technological waste (plastic, metal, inert, etc.) in 118L metal drums (C0) (329 118-litre drums)",Low and medium short-lived activity,F3-4-01,"16,779",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 11-Production - P1,"FMA-VC category technological waste (plastic, metal, inert, etc.) in 118L metal drums (CBFK) (32 x 118-litre drums)",Low and medium short-lived activity,F3-4-03,"7,04",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 11-Production - P1,"FMA-VC category technological waste (plastic, metal, inert, etc.) in 223L (C0) metal drums (4 x 223-litre drums)",Low and medium short-lived activity,F3-4-01,"0,9",,Data updated with each new edition of the National Inventory,
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 11-Production - P1,"FMA-VC category technological waste (plastic, metallic, inert, etc.) in BI (8S) (3 BI)",Low and medium short-lived activity,F3-4-02,"12,18",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11 -Production - P2 - Cellules 409,FMA-VC technological waste in cell 409 (34 baskets of 80 liters),Low and medium short-lived activity,F3-4-03,"33,32",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11-Production - Entreposage,"Technological waste and miscellaneous MA-VL waste (vitrification pots, glass pellets, etc.) (24 containers of 80 liters)",Average long-lived activity,DIV2-05,"9,792",,Data updated with each new edition of the National Inventory,"90Sr, 99Tc, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11-Production - Entreposage,Container containing strontium titanate (1 container of 100 liters),Average long-lived activity,DIV2-05,"0,206",,Data updated with each new edition of the National Inventory,90Sr
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11-Production - P1 - Locaux entreposage,Irradiating and low-irradiating alpha technological waste in 100/118 L drums (20 x 118 liter drums),Average long-lived activity,F2-4-08,"5,02",,Data updated with each new edition of the National Inventory,"137Cs, Pu, Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11-Production - P1,"Cladding waste, expansion chambers and technological waste (hulls and end pieces) (33 containers of 220 liters)",Average long-lived activity,F2-4-14,"13,2",,Data updated with each new edition of the National Inventory,"54Mn, 60Co"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11 -Production - P2 - Cellule,"Cladding waste, expansion chambers and technological waste (hulls and end pieces) (96 containers of 72 liters)",Average long-lived activity,F2-4-14,"14,016",,Data updated with each new edition of the National Inventory,"54Mn, 60Co"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets fusion-vitrification,Atelier 11 -Production - P1 - Chaîne V,Pieces of cell V laboratory glasses (30 boxes of 2 liters),Average long-lived activity,DIV2-05,"0,21",,Data updated with each new edition of the National Inventory,"137Cs, 239Pu, 240Pu"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets fusion-vitrification,Atelier 11 -Production - P1 - Chaîne C,Pieces of cell C laboratory glass (28 boxes of 2 litres),Average long-lived activity,DIV2-05,"0,196",,Data updated with each new edition of the National Inventory,"137Cs, 239Pu, 240Pu"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11-Production - Entreposage,Package of glasses from the Pilote workshop (176 containers of 57 liters),High activity,F1-5-01,"15,312",,Data updated with each new edition of the National Inventory,"90Sr, 99Tc, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11-Production - Entreposage,Other glasses from the Pilote workshop (15 containers of 57 liters),High activity,F1-5-01,"1,395",,Data updated with each new edition of the National Inventory,"90Sr, 99Tc, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11 -Production - P2 - Cellules,MA-VL technological waste in 80L basket (4 baskets 80 liters),Average long-lived activity,DIV2-05,"3,92",,Data updated with each new edition of the National Inventory,"90Sr, 106Ru, 137Cs, 106Rh"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets TFA,Atelier 11 -Production - P1 et P2 -Aire extérieure,"Packaged VLL technological waste (metallic, non-metallic, inert, etc.) (59.76 m3)",Very low activity,TFA-05,"59,76",,Data updated with each new edition of the National Inventory,
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 11 -Production - P1 et P2,Unused sources (26 sealed and unsealed sources),Other?,S01,0,,Data updated with each new edition of the National Inventory,
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets sans filière immédiate (DSFI),Atelier 11 -Production,Iodine trap cartridges (0.1 m3),Long-lived low activity,DIV9-05,"0,1",,Data updated with each new edition of the National Inventory,
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets sans filière immédiate (DSFI),Atelier 11 -Production,DSFI - Mercury waste not immediately evacuable (0.119 t),Low and medium short-lived activity,DIV3-05,"0,009044",,Data updated with each new edition of the National Inventory,
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11-Production - P1,Technological waste from the bulk TOP chain in cells (planned in 380 liters) (0.866 t),Average long-lived activity,F2-4-14,"2,660352",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11-Production - P1,Technological waste from the TOP chain provided in bulk in cells (in DIADEM containers) (5.25 t),Average long-lived activity,F2-4-14,"8,652",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de RCD,Atelier 11 -Production - P2,Bulk technological waste in MA-VL cells (0.884 t),Average long-lived activity,F2-4-14,"2,677636",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de démantèlement,Atelier 11 -Production - P2,"5L jars containing filings, dust and vacuum cleaner filters (10 5L jars)",Average long-lived activity,DIV2-05,"0,05",,Data updated with each new edition of the National Inventory,
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 8-Support,"FMA-VC category technological waste (plastic, metal, inert, etc.) in 118L (C0) metal drums (1 drum of 118 liters)",Low and medium short-lived activity,F3-4-01,"0,051",,Data updated with each new edition of the National Inventory,"60Co, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 8-Support,Decanter barrels to be reconditioned (FMA-VC) (1 barrel of 118L),Low and medium short-lived activity,F3-4-02,"0,118",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 8-Support,Miscellaneous wet waste FMA-VC (0.35 m3),Low and medium short-lived activity,DIV3-05,"0,35",,Data updated with each new edition of the National Inventory,"60Co, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 8-Support,"FMA-VC category technological waste (plastic, metal, inert, etc.) in BI (2 intermediate boxes)",Low and medium short-lived activity,F3-4-02,"8,12",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 8-Support,Solidified sludge to be reconditioned (0.7 m3),Low and medium short-lived activity,F3-4-02,"0,7",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets provenant de la vitrification des produits de fission,Atelier 3-Production,HA/MA AVM effluents (5.13 m3),Average long-lived activity,F2-4-03,"0,07695",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 3-Production,"FMA-VC category technological waste (plastic, metal, inert, etc.) in 118L metal drums (C0) (7 drums of 118L)",Low and medium short-lived activity,F3-4-01,"0,357",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 3-Production,"FMA-VC category technological waste (plastic, metal, inert, etc.) in 118L metal drums (CBFK) (2 x 118L drums)",Low and medium short-lived activity,F3-4-03,"0,44",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 3-Production,"Conditioned VLL technological waste (metallic, non-metallic, inert, etc.) (12.19 m3)",Very low activity,TFA-05,"12,19",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets provenant de la vitrification des produits de fission,Atelier 3-Production,Technological vitrification waste in metal containers + DEM CDT waste (167 technological waste containers),Average long-lived activity,F2-4-05,"29,225",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs, 239Pu, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets provenant de la vitrification des produits de fission,Atelier 3-Production,Vitrified waste in metal container (3159 vitrified containers),High activity,F1-4-01,"552,825",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets provenant de la vitrification des produits de fission,Atelier 3-Production,Vitrified waste in metal containers (rinsing glass) (147 vitrified containers),Average long-lived activity,F2-4-13,"25,725",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs, 239Pu, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 3-Production,Contaminated solvents and oils (2.03 m3),Low and medium short-lived activity,F3-7-01,0,,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 3-Production,DSFI - Pyralene Capacitor (0.04 m3),Low and medium short-lived activity,DIV3-05,"0,04",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 3-Production,DSFI - Mercury waste (0.08 m3),Low and medium short-lived activity,DIV3-05,"0,08",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,"FMA-VC category technological waste (plastic, metal, inert, etc.) in 118L (C0) metal drums (14 x 118L drums)",Low and medium short-lived activity,F3-4-01,"0,714",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,"FMA-VC category technological waste (plastic, metal, inert, etc.) in 118L metal drums (CBFK) (2 x 118L drums)",Low and medium short-lived activity,F3-4-03,"0,44",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,FMA-VC category non-compactable asbestos waste in 118L (9X) metal drums (16 x 118L drums),Low and medium short-lived activity,F3-4-09,"12,992",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,FMA-VC category non-compactable asbestos waste in 118L metal drums (CBFK) (16 x 118L drums),Low and medium short-lived activity,F3-4-03,"15,68",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,"FMA-VC category technological waste (plastic, metallic, inert, etc.) in 223L (C0) metal drums (3 drums of 223L)",Low and medium short-lived activity,F3-4-01,"0,675",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,"FMA-VC category technological waste (plastic, metallic, inert, etc.) in BI (8S) (8 BI)",Low and medium short-lived activity,F3-4-02,"32,48",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,Technological waste FMA-VC - Aerosol cans awaiting treatment (1 drum of 118L),Low and medium short-lived activity,F3-4-02,"0,174",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,Contaminated solvents and oils (1.3 m3),Low and medium short-lived activity,F3-7-01,0,,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,"Conditioned VLL technological waste (metallic, non-metallic, inert, etc.) (76.6 m3)",Very low activity,TFA-05,"76,6",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,Baskets (70 lockers and baskets),Low and medium short-lived activity,F3-4-02,"61,81",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de structure du combustible,Atelier 5-Production,Magnesium waste (Marcoule) - Pits 0 to 4 (253.2 t),Low and medium short-lived activity,F3-4-04,"2168,9112",,Data updated with each new edition of the National Inventory,"60Co, 63Ni"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de structure du combustible,Atelier 5-Production,"Magnesium waste (Marcoule) - Pits 5, 6, 8, 9 and 10 (271.3 t)",Average long-lived activity,F2-4-09,"397,9971",,Data updated with each new edition of the National Inventory,"60Co, 63Ni, 90Sr, 99Tc, 137Cs, 151Sm"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de structure du combustible,Atelier 5-Production,"Magnesium waste (Marcoule) - Pits 5, 6, 8, 9 and 10 (271.3 t)",Low and medium short-lived activity,F3-4-04,"2323,9558",,Data updated with each new edition of the National Inventory,"60Co, 63Ni"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de structure du combustible,Atelier 5-Production,Metal structure waste - Pit 7 (0.013 t),Average long-lived activity,F2-4-07,"0,034892",,Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni, 137Cs, 239Pu"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de structure du combustible,Atelier 5-Production,Metal structure waste - Pit 11 (89.7 t),Average long-lived activity,F2-4-07,"240,7548",,Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni, 137Cs, 239Pu"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,Unemployed Sources (10 Sources),Other?,S01,0,,Data updated with each new edition of the National Inventory,
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de structure du combustible,Atelier 5-Production,"Magnesium waste (Marcoule) - Pits 12, 13 and 15 (334.5 t)",Average long-lived activity,F2-4-09,"490,7115",,Data updated with each new edition of the National Inventory,"60Co, 63Ni, 90Sr, 99Tc, 137Cs, 151Sm"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de structure du combustible,Atelier 5-Production,Metal structure waste - Pit 16 (4.2 t),Average long-lived activity,F2-4-07,"22,8018",,Data updated with each new edition of the National Inventory,"55Fe, 60Co, 63Ni, 137Cs, 239Pu"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de procédé,Atelier 5-Production,"G, H, J pit sludge, intermediate tank (12.832 t)",Low and medium short-lived activity,F3-4-03,"1746,576352",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs, 239Pu, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de procédé,Atelier 5-Production,Pit 7 waste - sludge (0.01 t),Average long-lived activity,F2-4-10,"0,05429",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs, 239Pu, 241Am"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets d'exploitation et de maintenance,Atelier 5-Production,"VLL technological waste (metallic, non-metallic, inert, etc.) containing asbestos (3.9 m3)",Very low activity,TFA-05,"3,9",,Data updated with each new edition of the National Inventory,137Cs
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de structure du combustible,Atelier 6-Production,Aluminum scrap - Fosse FC (2.65 t),Low and medium short-lived activity,F3-4-02,"53,795",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
CHUSCLAN,Gard,30081,CEA CIVIL - MARCOULE (INSTALLATIONS IN DISMANTLING OR RCD),Déchets de structure du combustible,Atelier 6-Production,Aluminum scrap - Fosse FC (7.95 t),Very low activity,TFA-03,"111,3",,Data updated with each new edition of the National Inventory,"90Sr, 137Cs"
